Name;StepDuration;PlanName;ResultType;ExecutionId;Timestamp;Throughput (Mbps);Jitter (ms);Packet Loss (%)
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408655846;182.0;0.055;13.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408656748;172.0;0.084;15.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408657851;164.0;0.046;20.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408658754;178.0;0.036;19.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408659760;172.0;0.071;15.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408660763;180.0;0.091;18.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408661765;181.0;0.12;13.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408662770;180.0;0.071;14.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408663781;179.0;0.101;15.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408664784;184.0;0.072;13.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408665790;173.0;0.061;15.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408666792;168.0;0.042;19.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408667796;162.0;0.112;22.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408668800;156.0;0.047;24.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408669804;162.0;0.052;24.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408670807;175.0;0.056;22.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408671809;173.0;0.059;15.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408672815;181.0;0.056;17.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408673818;172.0;0.095;13.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408674821;181.0;0.078;19.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408675828;181.0;0.085;14.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408676830;184.0;0.039;11.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408677839;189.0;0.056;11.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408678840;174.0;0.058;11.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408679842;184.0;0.091;16.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408680844;187.0;0.04;13.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408681847;188.0;0.073;11.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408682756;178.0;0.057;13.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408683762;182.0;0.051;14.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408684765;179.0;0.055;14.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408685769;187.0;0.088;13.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408686776;181.0;0.065;11.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408687779;184.0;0.058;13.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408688783;184.0;0.074;13.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408689786;174.0;0.069;16.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408690789;185.0;0.045;12.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408691792;177.0;0.107;15.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408692798;168.0;0.056;15.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408693800;159.0;0.16;23.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408694802;189.0;0.047;21.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408695804;195.0;0.083;6.5
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408696809;200.0;0.04;7.8
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408697812;199.0;0.039;5.2
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408698816;196.0;0.077;4.2
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408699818;200.0;0.075;2.9
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408700819;180.0;0.091;7.3
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408701821;177.0;0.046;16.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408702823;191.0;0.045;14.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408703834;192.0;0.083;7.5
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408704835;189.0;0.058;8.4
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408705840;187.0;0.042;13.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408706743;180.0;0.077;9.5
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408707846;179.0;0.059;15.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408708851;173.0;0.079;16.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408709753;179.0;0.058;16.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408710756;174.0;0.051;15.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408711759;175.0;0.061;17.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408712767;178.0;0.122;18.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408713771;182.0;0.045;15.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408714774;182.0;0.069;13.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408715776;192.0;0.043;12.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408716778;182.0;0.07;6.5
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408717780;171.0;0.053;20.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408718784;179.0;0.102;14.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408719788;178.0;0.066;15.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606408720790;180.0;0.103;15.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409135913;179.0;0.008;11.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409136916;160.0;0.01;18.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409137918;167.0;0.011;15.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409138921;168.0;0.009;14.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409139923;171.0;0.024;13.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409140925;180.0;0.022;9.4
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409141927;176.0;0.017;11.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409142928;178.0;0.027;11.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409143930;177.0;0.01;11.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409144932;179.0;0.01;9.3
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409145934;180.0;0.013;8.8
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409146836;185.0;0.006;7.2
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409147838;179.0;0.021;12.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409148840;183.0;0.015;7.7
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409149843;184.0;0.01;7.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409150845;186.0;0.004;7.8
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409151846;175.0;0.015;13.0
Adb iPerf Agent;0;Untitled;ADB iPerf Agent Server;[UNDEFINED_ID];1606409152848;177.0;0.006;5.6
